,AVG-W2V_aimed_sentence,AVG-W2V_aimed_field,AVG-W2V_similarity,stud_field,stud_sentence,IDStud,IDClass,Category,Accuracy_score,Code,Fieldname
0,Elevators Bliven hang,Field4_en,0.7911083698272705,1,elevators get stuck,8I1FH3B,H3B,Beton,4,g,1
1,Concrete dries out,Field2_en,0.6590790748596191,1,Concrete shrinks as the hot word,11I6FH3E,H3E,Beton,3,g,1
2,Concrete dries out,Field2_en,0.6163491010665894,1,By heating the concrete shrinks,12I5FA3,A3,Beton,3,g,1
3,Central heating,Field1_en,0.7154843807220459,1,concrete buildings shrink by central heating,13I6FA3,A3,Beton,3,g,1
4,Concrete dries out,Field2_en,0.5432114601135254,1,concrete decreases after a while,20I2F3VA,3VA,Beton,3,g,1
5,Concrete dries out,Field2_en,0.6409722566604614,1,can shrink concrete,20I2FV3D,V3D,Beton,3,g,1
6,Buildings are smaller,Field3_en,0.6356980800628662,1,shrink concrete buildings,20I6FH3D,H3D,Beton,3,g,1
7,Concrete dries out,Field2_en,0.5560944080352783,1,Buildings made of concrete but people did not know that shrinks when heat concrete,27I6F3G2,3G2,Beton,3,g,1
8,Concrete dries out,Field2_en,0.6859616041183472,1,Concrete shrinks as it gets hot,5I1OH3C,H3C,Beton,3,g,1
9,Buildings are smaller,Field3_en,0.6470330953598022,1,v concrete buildings become smaller heat,8I1FA3,A3,Beton,3,g,1
10,Concrete dries out,Field2_en,0.8475767374038696,1,get small concrete as it dries,8I5F3A1,3A1,Beton,3,g,1
11,Concrete dries out,Field2_en,0.6409722566604614,1,can shrink concrete,8I6FH3E,H3E,Beton,3,g,1
12,Concrete dries out,Field2_en,0.8389427065849304,1,The central heating dries out concrete,11I4FA3,A3,Beton,2,g,1
13,Concrete dries out,Field2_en,0.7028815746307373,1,concrete shrinks,13I5FHC3,HC3,Beton,2,g,1
14,Concrete dries out,Field2_en,0.6146025061607361,1,Concrete can dry out by CV,14I4FG3,G3,Beton,2,g,1
