\outl0\strokewidth0 \strokec2 IDStudent,IDStudUnique,IDClass,TextName,RelationNr1,Code1,Field,Field1,Field1_en
10I4F,10I4F3G2,3G2,Beton,1,g,1,centrale verwarming in betonnen gebouwen,central heating in concrete buildings
10I2F,10I2FHC3,HC3,Beton,0,c,1,Als beton warm is zet dat uit,If concrete is warm turn it off
10I4F,10I4F3G2,3G2,Botox,2,g,1,kan het helpen bij bijv. mensen die veel knipperen dat niet meer te laten doen,it can help eg. people blink much not to do
10I2F,10I2FHC3,HC3,Geld,0,c,1,persoon onderzoekt jonge lotto winnaars,person examines young lotto winners
10I4F,10I4F3G2,3G2,Geld,0,c,1,iemand wint de loterij,someone wins the lottery
10I2F,10I2FHC3,HC3,Metro,0,c,1,meer reli\'ebf,more reliable \ 'EBF
10I2F,10I2FHC3,HC3,Muziek,3c,g,1,Muziek maakt je slimmer,Music makes you smarter
10I4F,10I4F3G2,3G2,Muziek,1,g,1,muziek te leren spelen,music playing
10I2F,10I2FHC3,HC3,Suez,0,c,1,Eerst geen water,First water
10I4F,10I4F3G2,3G2,Suez,0,c,1,handelsroutes te lang,trade routes too long
10I4F,10I4F3G2,3G2,Beton,2,g,2,droogt het beton uit,the concrete dries out
10I2F,10I2FHC3,HC3,Beton,4,g,2,in liften ook dus hangt lift vast,So also in elevator is stuck elevators
10I4F,10I4F3G2,3G2,Botox,3,g,2,wordt het gebruikt om rimpels weg te laten zijn,it is used to eliminate wrinkles
10I2F,10I2FHC3,HC3,Botox,0,c,2,moeilijker knippen,difficult cut
10I2F,10I2FHC3,HC3,Geld,5,g,2,zij zijn niet gelukkig,they are not happy
10I4F,10I4F3G2,3G2,Geld,0,c,2,veel geld uitgegeven,much money
10I2F,10I2FHC3,HC3,Metro,0,c,2,meer slib,more sludge
10I4F,10I4F3G2,3G2,Metro,3,g,2,ontstond er een kunstmatig koraalrif,there was an artificial reef
10I2F,10I2FHC3,HC3,Muziek,0,c,2,meer help het mensen met Alzheimer,more help to people with Alzheimer's
10I4F,10I4F3G2,3G2,Muziek,3c,g,2,krijgen mensen een hogere uitslag bij IQ testen,people get higher test results in IQ
10I2F,10I2FHC3,HC3,Suez,0,c,2,toen kunstmatig aangelegd,when artificial
10I4F,10I4F3G2,3G2,Suez,4,g,2,suezkannaal gegraven,dug suezkannaal
10I4F,10I4F3G2,3G2,Beton,3,g,3,krimpt het beton,Shrink concrete
10I2F,10I2FHC3,HC3,Beton,0,c,3,extra ruimte tussen muren gemaakt,extra space between walls
10I4F,10I4F3G2,3G2,Botox,4b,g,3,kan de gezichtsuitdrukking anders zijn,The expression may be different
10I4F,10I4F3G2,3G2,Geld,0,c,3,veel spectaculaire en leuke dingen doen,many spectacular and fun things
10I4F,10I4F3G2,3G2,Metro,4,g,3,meer plankton in de zee daar,more plankton in the sea there
10I2F,10I2FHC3,HC3,Muziek,3c,g,3,kinderen hoger IQ,children higher IQ
10I4F,10I4F3G2,3G2,Muziek,0,c,3,kunnen ze beter ding onthouden,they can remember better thing
10I4F,10I4F3G2,3G2,Beton,0,c,4,worden de liftschachten kleiner,the elevator shafts to be smaller
10I4F,10I4F3G2,3G2,Geld,0,c,4,kan dat later niet overtreft worden,can later be not exceed
10I4F,10I4F3G2,3G2,Metro,5,g,4,plankton trekt andere vissen aan zoals makreel en baars,plankton attracts other fish such as mackerel and perch on
10I4F,10I4F3G2,3G2,Muziek,0,c,4,kunnen mensen met alzheimer herineringen ophalen met muziek,can pick people with Alzheimer's remembrances with music
