Field,Field_correct,Field_en,Field_correct_en,Accuracy_score,Code,Fieldname
liften gaan vast zitten,Centrale verwarming,elevators get stuck,Central heating,4,g,Beton;Field1
Beton krimpt als het warm word,Centrale verwarming,Concrete shrinks as the hot word,Central heating,3,g,Beton;Field1
Door de centrale verwarming krimpt het beton,Centrale verwarming,By heating the concrete shrinks,Central heating,3,g,Beton;Field1
betonnen gebouwen krimpen bij centrale verwarming,Centrale verwarming,concrete buildings shrink by central heating,Central heating,3,g,Beton;Field1
beton wordt na een tijdje kleiner,Centrale verwarming,concrete decreases after a while,Central heating,3,g,Beton;Field1
beton kan krimpen,Centrale verwarming,can shrink concrete,Central heating,3,g,Beton;Field1
betonnen gebouwen krimpen,Centrale verwarming,shrink concrete buildings,Central heating,3,g,Beton;Field1
Gebouwen worden van beton gemaakt maar mensen wisten niet dat beton krimpt bij warmte,Centrale verwarming,Buildings made of concrete but people did not know that shrinks when heat concrete,Central heating,3,g,Beton;Field1
Beton krimpt als het warm wordt,Centrale verwarming,Concrete shrinks as it gets hot,Central heating,3,g,Beton;Field1
gebouwen v beton worden kleiner door warmte,Centrale verwarming,v concrete buildings become smaller heat,Central heating,3,g,Beton;Field1
beton word kleine als het droogt,Centrale verwarming,get small concrete as it dries,Central heating,3,g,Beton;Field1
beton kan krimpen,Centrale verwarming,can shrink concrete,Central heating,3,g,Beton;Field1
Door de centrale verwarming droogt beton uit,Centrale verwarming,The central heating dries out concrete,Central heating,2,g,Beton;Field1
beton krimpt,Centrale verwarming,concrete shrinks,Central heating,2,g,Beton;Field1
Beton kan door CV uitdrogen,Centrale verwarming,Concrete can dry out by CV,Central heating,2,g,Beton;Field1
droogt uit,Centrale verwarming,dries out,Central heating,2,g,Beton;Field1
beton uitdrogen door gebruik centrale verwarming,Centrale verwarming,concrete drying by using heating,Central heating,2,g,Beton;Field1
door het gebruik van de CV droogt het beton uit,Centrale verwarming,using the CV concrete dries out,Central heating,2,g,Beton;Field1
centrale verwarming in betonnen gebouwen,Centrale verwarming,central heating in concrete buildings,Central heating,1,g,Beton;Field1
in veel gebouwen warmte-installatie,Centrale verwarming,in many buildings thermal plant,Central heating,1,g,Beton;Field1
betonkrimp door gebruik van centrale verwarming,Centrale verwarming,concrete shrinkage by use of central heating,Central heating,1,g,Beton;Field1
verwarming in betonnen gebouwen kan problemen veroorzaken,Centrale verwarming,heating in concrete buildings can cause problems,Central heating,1,g,Beton;Field1
in een (betonnen) gebouwen zit steeds vaker CV,Centrale verwarming,in a (concrete) buildings is increasingly CV,Central heating,1,g,Beton;Field1
betonkrimp door verwarmingsinstallatie,Centrale verwarming,concrete shrinkage by heating,Central heating,1,g,Beton;Field1
Veel gebouwen hebben een cv die hitte uitstraalt,Centrale verwarming,Many buildings have a resume that radiates heat,Central heating,1,g,Beton;Field1
als gebouwen helemaal van niet gekeurd beton zijn wanneer ze krimpen als je de centrale verwarming aanzet,Centrale verwarming,if buildings are not inspected at all of concrete when they shrink when you turn the central heating,Central heating,1,g,Beton;Field1
Betonnen gebouwen met verwarming,Centrale verwarming,Concrete buildings with heating,Central heating,1,g,Beton;Field1
betonnen gebouwen werden gebouwd waar centrale verwarming is,Centrale verwarming,concrete buildings were built where central heating,Central heating,1,g,Beton;Field1
door verwarming,Centrale verwarming,by heating,Central heating,1,g,Beton;Field1
centrale verwarming in gebouw van beton,Centrale verwarming,central heating in concrete building,Central heating,1,g,Beton;Field1
centrale verwarming,Centrale verwarming,central heating,Central heating,1,g,Beton;Field1
centrale verwarming heeft effect op betonnen gebouwen,Centrale verwarming,central heating affects concrete buildings,Central heating,1,g,Beton;Field1
beton krimpt door de verwarming,Centrale verwarming,concrete shrinks by heating,Central heating,1,g,Beton;Field1
Beton wordt gebruikt in centrale verwarming,Centrale verwarming,Concrete is used in central heating,Central heating,1,g,Beton;Field1
In een gebouw is verwarming,Centrale verwarming,In a building heating,Central heating,1,g,Beton;Field1
Centrale verwarming in gebouw,Centrale verwarming,Central heating in the building,Central heating,1,g,Beton;Field1
het gebruik van centrale verwarming bij betonnen gebouwen,Centrale verwarming,the use of central heating in concrete buildings,Central heating,1,g,Beton;Field1
warmte van centrale verwarming zorgt ervoor dat beton krimpt,Centrale verwarming,warmth of central heating ensures that concrete shrinks,Central heating,1,g,Beton;Field1
beton bij centrale verwarming,Centrale verwarming,concrete with central heating,Central heating,1,g,Beton;Field1
centrale verwarming droogt beton uit,Centrale verwarming,central heating dries out concrete,Central heating,1,g,Beton;Field1
centrale verwaming verwarmt,Centrale verwarming,central heated heats,Central heating,1,g,Beton;Field1
er wordt centrale verwarming gebruikt,Centrale verwarming,There is central heating is used,Central heating,1,g,Beton;Field1
centrale verwaming bij betonnen gebouwen,Centrale verwarming,central heating at concrete buildings,Central heating,1,g,Beton;Field1
In gebouwen zit een centrale verwarming,Centrale verwarming,In buildings have central heating,Central heating,1,g,Beton;Field1
Centrale verwarming in gebouwen,Centrale verwarming,Central heating in buildings,Central heating,1,g,Beton;Field1
in een huis met nieuw beton en de verwarming aan,Centrale verwarming,in a house with new concrete and the heating,Central heating,1,g,Beton;Field1
centrale verwarming in betonnen gebouw droogt het beton uit,Centrale verwarming,central heating in concrete building concrete dries out,Central heating,1,g,Beton;Field1
Als beton warm is zet dat uit,Centrale verwarming,If concrete is warm turn it off,Central heating,0,c,Beton;Field1
kwaliteit beton is niet goed,Centrale verwarming,quality concrete is not good,Central heating,0,c,Beton;Field1
beton wordt voor huizen gebruikt,Centrale verwarming,concrete is used for houses,Central heating,0,c,Beton;Field1
gebouwen worden gemaakt van beton,Centrale verwarming,buildings are made of concrete,Central heating,0,c,Beton;Field1
beton in gebouwen,Centrale verwarming,concrete buildings,Central heating,0,c,Beton;Field1
er wordt cv aangelegd in betonnen gebouwen,Centrale verwarming,There cv applied in concrete buildings,Central heating,0,c,Beton;Field1
Veel gebouwen worden van beton gemaakt,Centrale verwarming,Many buildings are made of concrete,Central heating,0,c,Beton;Field1
1962 KOMO-certificaat toegestaan gebruik van beton,Centrale verwarming,1962 KOMO certificate authorized use of concrete,Central heating,0,c,Beton;Field1
gebouwen worden vaak van beton gebouwd,Centrale verwarming,buildings are often built of concrete,Central heating,0,c,Beton;Field1
veel gebouwen zijn van beton,Centrale verwarming,many buildings are made of concrete,Central heating,0,c,Beton;Field1
er wordt verkeerd beton gebruikt,Centrale verwarming,there being mishandled concrete,Central heating,0,c,Beton;Field1
Beton wordt vaak gebruikt voor gebouwen,Centrale verwarming,Concrete is often used for buildings,Central heating,0,c,Beton;Field1
Beton is een vel gebruikt bouwmiddel,Centrale verwarming,Concrete is used a sheet of constructing means,Central heating,0,c,Beton;Field1
veel gebouwen zijn van beton,Centrale verwarming,many buildings are made of concrete,Central heating,0,c,Beton;Field1
Koud in beton gebouw,Centrale verwarming,Cold concrete building,Central heating,0,c,Beton;Field1
in gebouwen wordt vaak beton gebruikt,Centrale verwarming,in buildings is often used concrete,Central heating,0,c,Beton;Field1
Betonnen gebouwen gebouwd. Vaak koud,Centrale verwarming,Concrete buildings built. common cold,Central heating,0,c,Beton;Field1
Betonnen gebouwen gebouwd. Vaak koud,Centrale verwarming,Concrete buildings built. common cold,Central heating,0,c,Beton;Field1
beton word veel gebruikd door huizen en gebouwen,Centrale verwarming,concrete'm much gebruikd by houses and buildings,Central heating,0,c,Beton;Field1
al 70 jaar word grote gebouwen gebouwd door beton,Centrale verwarming,70 years become big buildings built by concrete,Central heating,0,c,Beton;Field1
Beton zet uit en krimpt,Centrale verwarming,Concrete expands and contracts,Central heating,0,c,Beton;Field1
concentratie beton moet goed zijn anders kan het uitzetten,Centrale verwarming,concentration concrete must be good otherwise it may expand,Central heating,0,c,Beton;Field1
beton gebruik,Centrale verwarming,concrete using,Central heating,0,c,Beton;Field1
beton word veel gebruik om huizen te bouwen,Centrale verwarming,Concrete get much use to build houses,Central heating,0,c,Beton;Field1
Veel gebouwen worden gemaakt van beton en beton krimt als het verhit wordt,Centrale verwarming,Many buildings are made of concrete and concrete krimt when heated,Central heating,0,c,Beton;Field1
Veel betonnen gebouwen,Centrale verwarming,Many concrete buildings,Central heating,0,c,Beton;Field1
beton moet eerst worden gekeurd,Centrale verwarming,Concrete must be tested first,Central heating,0,c,Beton;Field1
Warmte en vocht,Centrale verwarming,Heat and moisture,Central heating,0,c,Beton;Field1
gebouwen gemaakt van beton,Centrale verwarming,buildings made of concrete,Central heating,0,c,Beton;Field1
Gebouwen moeten stevig zijn,Centrale verwarming,Buildings should be firm,Central heating,0,c,Beton;Field1
beton wordt vaak gebruikt om huis te bouwen,Centrale verwarming,concrete is often used to build house,Central heating,0,c,Beton;Field1
Bouwen betonnen gebouwen,Centrale verwarming,Build concrete buildings,Central heating,0,c,Beton;Field1
door natte beton,Centrale verwarming,by wet concrete,Central heating,0,c,Beton;Field1
Er wordt veel gebruik gemaakt van beton,Centrale verwarming,Extensive use is made of concrete,Central heating,0,c,Beton;Field1
veel gebouwen van beton,Centrale verwarming,many buildings of concrete,Central heating,0,c,Beton;Field1
er wordt veel beton gebruikt,Centrale verwarming,much concrete is used,Central heating,0,c,Beton;Field1
krijg je soms een ongewenst effect van de veranderde gezichtsuitdrukkingen,Kan helpen tegen verkrampte spieren,sometimes you get an undesired effect of the changed facial expressions,Can help prevent muscle tightness,4b,g,Botox;Field1
kun je vaak je gezichtsuitdrukking niet goed geven,Kan helpen tegen verkrampte spieren,You can often give you good expression,Can help prevent muscle tightness,4b,g,Botox;Field1
andere gezichtsuitdrukking,Kan helpen tegen verkrampte spieren,Another expression,Can help prevent muscle tightness,4b,g,Botox;Field1
veranderd je gezichtsuitdrukking onwillis,Kan helpen tegen verkrampte spieren,change your facial expression onwillis,Can help prevent muscle tightness,4b,g,Botox;Field1
Gezichtuitdrukking veranderen,Kan helpen tegen verkrampte spieren,Changing Facial Expression,Can help prevent muscle tightness,4b,g,Botox;Field1
Hierdoor kan je gezichtsuitdrukking ongewilt aangetast worden,Kan helpen tegen verkrampte spieren,This allows you unlimited expression would be affected,Can help prevent muscle tightness,4b,g,Botox;Field1
lijk je jonger,Kan helpen tegen verkrampte spieren,you seem younger,Can help prevent muscle tightness,4a,g,Botox;Field1
Krijg je een resultaat van gezicht verjonging,Kan helpen tegen verkrampte spieren,Get a result of facial rejuvenation,Can help prevent muscle tightness,4a,g,Botox;Field1
willen mensen dat hebben om jonger te lijken,Kan helpen tegen verkrampte spieren,want people to have to look younger,Can help prevent muscle tightness,4a,g,Botox;Field1
vermindert het rimpels,Kan helpen tegen verkrampte spieren,it reduces wrinkles,Can help prevent muscle tightness,3,g,Botox;Field1
Wordt je gezicht gladder,Kan helpen tegen verkrampte spieren,Is your face smoother,Can help prevent muscle tightness,3,g,Botox;Field1
