,stud_sentence,stud_field,AVG-W2V_all_scores,AVG-W2V_similarity,AVG-W2V_aimed_sentence,AVG-W2V_aimed_field,AVG-W2V-STOP_all_scores,AVG-W2V-STOP_similarity,AVG-W2V-STOP_aimed_sentence,AVG-W2V-STOP_aimed_field,AVG-W2V-TFIDF_all_scores,AVG-W2V-TFIDF_similarity,AVG-W2V-TFIDF_aimed_sentence,AVG-W2V-TFIDF_aimed_field,AVG-W2V-TFIDF-STOP_all_scores,AVG-W2V-TFIDF-STOP_similarity,AVG-W2V-TFIDF-STOP_aimed_sentence,AVG-W2V-TFIDF-STOP_aimed_field,WMD-W2V_all_scores,WMD-W2V_similarity,WMD-W2V_aimed_sentence,WMD-W2V_aimed_field,SIF-W2V_all_scores,SIF-W2V_similarity,SIF-W2V_aimed_sentence,SIF-W2V_aimed_field,IDStud,IDClass,Category,Accuracy_score,Code,Fieldname
0,elevators get stuck,1,"[0.23129374, 0.29224274, 0.34695882, 0.79110837]",0.7911083698272705,Elevators Bliven hang,Field4_en,"[0.23129374, 0.23140132, 0.29834038, 0.79110837]",0.7911083698272705,Elevators Bliven hang,Field4_en,"[0.2280766776599681, 0.17632235370198643, 0.3560186854202204, 0.8723265873858609]",0.8723265873858609,Elevators Bliven hang,Field4_en,"[0.2280766776599681, 0.1649822466405285, 0.3415045149571712, 0.8723265873858609]",0.8723265873858609,Elevators Bliven hang,Field4_en,"[-3.5347514412919887, -3.4759544512344434, -3.062318978716154, -2.0286393307488475]",-2.0286393307488475,Elevators Bliven hang,Field4_en,"[-0.42876989150511546, -0.41713199814820806, -0.5134098993001954, -0.5113336613538559]",-0.41713199814820806,Concrete dries out,Field2_en,8I1FH3B,H3B,Beton,4,g,1
1,Concrete shrinks as the hot word,1,"[0.3182352, 0.6590791, 0.29467282, 0.23470604]",0.6590790748596191,Concrete dries out,Field2_en,"[0.2853224, 0.6482074, 0.19933677, 0.24124703]",0.648207426071167,Concrete dries out,Field2_en,"[0.29079678245089813, 0.6522682639909401, 0.26959437490572025, 0.19243896470589125]",0.6522682639909401,Concrete dries out,Field2_en,"[0.28732481716696323, 0.6422336137238677, 0.24383314571934353, 0.19196345184175057]",0.6422336137238677,Concrete dries out,Field2_en,"[-3.321185677343309, -2.5409867322305897, -3.1855881282843166, -3.7207441930351055]",-2.5409867322305897,Concrete dries out,Field2_en,"[-0.4373615985813257, -0.20627541701337732, -0.49320462093883405, -0.5796971031637658]",-0.20627541701337732,Concrete dries out,Field2_en,11I6FH3E,H3E,Beton,3,g,1
2,By heating the concrete shrinks,1,"[0.6045574, 0.6163491, 0.42220408, 0.20660926]",0.6163491010665894,Concrete dries out,Field2_en,"[0.6227552, 0.6746083, 0.33655205, 0.23326936]",0.6746082901954651,Concrete dries out,Field2_en,"[0.6292171166356857, 0.615561455831389, 0.3426397088985634, 0.20513074615796115]",0.6292171166356857,Central heating,Field1_en,"[0.6290296740092371, 0.614277903091631, 0.3185341489499867, 0.20637390839271538]",0.6290296740092371,Central heating,Field1_en,"[-2.572935777666521, -2.434328924666586, -3.1027993903316107, -3.7378294401066303]",-2.434328924666586,Concrete dries out,Field2_en,"[-0.29814793100933035, -0.20717351499943445, -0.4660787012908817, -0.6238402289753642]",-0.20717351499943445,Concrete dries out,Field2_en,12I5FA3,A3,Beton,3,g,1
3,concrete buildings shrink by central heating,1,"[0.7154844, 0.50241363, 0.6070077, 0.32110387]",0.7154843807220459,Central heating,Field1_en,"[0.735, 0.52880764, 0.6237523, 0.3444402]",0.7350000143051147,Central heating,Field1_en,"[0.7067942585200203, 0.4921883272882345, 0.5625337353191503, 0.326112206307135]",0.7067942585200203,Central heating,Field1_en,"[0.7079267166302947, 0.489659425688262, 0.5541730065700587, 0.32796856752667947]",0.7079267166302947,Central heating,Field1_en,"[-2.3307194101084705, -2.7974246349678014, -2.5984061940617726, -3.6836774671150563]",-2.3307194101084705,Central heating,Field1_en,"[0.014344936161292253, -0.21251113820875436, -0.1295188058857931, -0.6788756411745462]",0.014344936161292253,Central heating,Field1_en,13I6FA3,A3,Beton,3,g,1
4,concrete decreases after a while,1,"[0.22756946, 0.54321146, 0.36083493, 0.21276176]",0.5432114601135254,Concrete dries out,Field2_en,"[0.22310564, 0.6043567, 0.32610884, 0.2073527]",0.6043567061424255,Concrete dries out,Field2_en,"[0.21777248479620717, 0.48458489532486704, 0.34427050098535666, 0.21699135962145102]",0.48458489532486704,Concrete dries out,Field2_en,"[0.21237079005563653, 0.4857904290763015, 0.3169868682630741, 0.2073150804019862]",0.4857904290763015,Concrete dries out,Field2_en,"[-3.3520161573753358, -2.3563450409951607, -3.095638497533003, -3.6297446872568133]",-2.3563450409951607,Concrete dries out,Field2_en,"[-0.4465928324582758, -0.2737919524809011, -0.4117384784690463, -0.5867339383992942]",-0.2737919524809011,Concrete dries out,Field2_en,20I2F3VA,3VA,Beton,3,g,1
5,can shrink concrete,1,"[0.23453128, 0.64097226, 0.41722053, 0.23415516]",0.6409722566604614,Concrete dries out,Field2_en,"[0.2236396, 0.63735586, 0.36290738, 0.20726171]",0.6373558640480042,Concrete dries out,Field2_en,"[0.22005085322895898, 0.5268085463313498, 0.36971214228832044, 0.19501242856576745]",0.5268085463313498,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5046431605657961, 0.3522859348206998, 0.18416138178317637]",0.5046431605657961,Concrete dries out,Field2_en,"[-3.5564626149292913, -2.1331163235249657, -2.948840311992625, -3.723158629553655]",-2.1331163235249657,Concrete dries out,Field2_en,"[-0.4883548326022325, -0.3876254216481376, -0.45476903335736085, -0.6033302464038036]",-0.3876254216481376,Concrete dries out,Field2_en,20I2FV3D,V3D,Beton,3,g,1
6,shrink concrete buildings,1,"[0.2919688, 0.55790967, 0.6356981, 0.34406978]",0.6356980800628662,Buildings are smaller,Field3_en,"[0.2919688, 0.5732072, 0.69152117, 0.34406978]",0.691521167755127,Buildings are smaller,Field3_en,"[0.2628446318991028, 0.494972735289703, 0.598113130803919, 0.30045882216787134]",0.598113130803919,Buildings are smaller,Field3_en,"[0.2628446318991028, 0.48971435161923416, 0.5984056179377334, 0.30045882216787134]",0.5984056179377334,Buildings are smaller,Field3_en,"[-3.6645448530117775, -2.435029420849517, -2.1487224069554016, -3.611223679083978]",-2.1487224069554016,Buildings are smaller,Field3_en,"[-0.47008324415440034, -0.28581387075507525, -0.23276225677245796, -0.6221313987205845]",-0.23276225677245796,Buildings are smaller,Field3_en,20I6FH3D,H3D,Beton,3,g,1
7,Buildings made of concrete but people did not know that shrinks when heat concrete,1,"[0.34320924, 0.5560944, 0.5448593, 0.35445443]",0.5560944080352783,Concrete dries out,Field2_en,"[0.4059801, 0.58945316, 0.5575507, 0.39485216]",0.5894531607627869,Concrete dries out,Field2_en,"[0.3861219311779873, 0.6605699614677873, 0.5208232590327959, 0.32696306009419224]",0.6605699614677873,Concrete dries out,Field2_en,"[0.3913583958062063, 0.6622027116617307, 0.49529594676537325, 0.32101628612435185]",0.6622027116617307,Concrete dries out,Field2_en,"[-3.249336135519934, -2.6290873247795004, -2.741598958427063, -3.4950611893603742]",-2.6290873247795004,Concrete dries out,Field2_en,"[-0.347514051762186, 0.08689016620109082, -0.17756289898855956, -0.5689230759480379]",0.08689016620109082,Concrete dries out,Field2_en,27I6F3G2,3G2,Beton,3,g,1
8,Concrete shrinks as it gets hot,1,"[0.31951603, 0.6859616, 0.32092375, 0.23010294]",0.6859616041183472,Concrete dries out,Field2_en,"[0.31247708, 0.6632971, 0.21031305, 0.22528474]",0.6632971167564392,Concrete dries out,Field2_en,"[0.2948875392830549, 0.6562962308431919, 0.26944399115949763, 0.18364338864233878]",0.6562962308431919,Concrete dries out,Field2_en,"[0.2928123499087168, 0.6437593785366049, 0.2362567470447358, 0.18147494000231676]",0.6437593785366049,Concrete dries out,Field2_en,"[-3.357667595164933, -2.53370519157844, -3.1822975765073176, -3.7252435545701044]",-2.53370519157844,Concrete dries out,Field2_en,"[-0.45259856836047396, -0.2791829061184914, -0.49637075571525147, -0.5854616358091187]",-0.2791829061184914,Concrete dries out,Field2_en,5I1OH3C,H3C,Beton,3,g,1
9,v concrete buildings become smaller heat,1,"[0.3873139, 0.5093604, 0.6470331, 0.34160417]",0.6470330953598022,Buildings are smaller,Field3_en,"[0.3873139, 0.49476156, 0.6335725, 0.34160417]",0.633572518825531,Buildings are smaller,Field3_en,"[0.4238835486877399, 0.48415085280638503, 0.6506404080013153, 0.3584879487766701]",0.6506404080013153,Buildings are smaller,Field3_en,"[0.4238835486877399, 0.4746690706704546, 0.6352150536233635, 0.3584879487766701]",0.6352150536233635,Buildings are smaller,Field3_en,"[-3.585135455515664, -3.1206288802595283, -2.4096798198461284, -3.8560536716139593]",-2.4096798198461284,Buildings are smaller,Field3_en,"[-0.33967104016863076, -0.18607466259306052, -0.05458017256912268, -0.5847379243955148]",-0.05458017256912268,Buildings are smaller,Field3_en,8I1FA3,A3,Beton,3,g,1
10,get small concrete as it dries,1,"[0.28490314, 0.84757674, 0.412391, 0.2937765]",0.8475767374038696,Concrete dries out,Field2_en,"[0.27189973, 0.8822222, 0.35388577, 0.30036443]",0.8822221755981445,Concrete dries out,Field2_en,"[0.27386867686845257, 0.9820100357489858, 0.2695378149198157, 0.2162084255647962]",0.9820100357489858,Concrete dries out,Field2_en,"[0.2709675922775416, 0.9821489918607077, 0.25046178445885137, 0.21411479386042168]",0.9821489918607077,Concrete dries out,Field2_en,"[-3.265135179135739, -1.879321732783291, -2.948947685349693, -3.5263883777731846]",-1.879321732783291,Concrete dries out,Field2_en,"[-0.5283672859070571, 0.3870961435510575, -0.48213508279403033, -0.6676962889703718]",0.3870961435510575,Concrete dries out,Field2_en,8I5F3A1,3A1,Beton,3,g,1
11,can shrink concrete,1,"[0.23453128, 0.64097226, 0.41722053, 0.23415516]",0.6409722566604614,Concrete dries out,Field2_en,"[0.2236396, 0.63735586, 0.36290738, 0.20726171]",0.6373558640480042,Concrete dries out,Field2_en,"[0.22005085322895898, 0.5268085463313498, 0.36971214228832044, 0.19501242856576745]",0.5268085463313498,Concrete dries out,Field2_en,"[0.21075132681895162, 0.5046431605657961, 0.3522859348206998, 0.18416138178317637]",0.5046431605657961,Concrete dries out,Field2_en,"[-3.5564626149292913, -2.1331163235249657, -2.948840311992625, -3.723158629553655]",-2.1331163235249657,Concrete dries out,Field2_en,"[-0.4883548326022325, -0.3876254216481378, -0.45476903335736074, -0.6033302464038035]",-0.3876254216481378,Concrete dries out,Field2_en,8I6FH3E,H3E,Beton,3,g,1
12,The central heating dries out concrete,1,"[0.71555144, 0.8389427, 0.34963578, 0.26021165]",0.8389427065849304,Concrete dries out,Field2_en,"[0.7433372, 0.8230431, 0.30736604, 0.2554686]",0.8230431079864502,Concrete dries out,Field2_en,"[0.6550437580776991, 0.8990402903419735, 0.27166835303462744, 0.23469877227035538]",0.8990402903419735,Concrete dries out,Field2_en,"[0.6557446857650847, 0.896989754006794, 0.2551682267467134, 0.2311251769050147]",0.896989754006794,Concrete dries out,Field2_en,"[-2.212812645905245, -1.5908384164288472, -3.2578326874960464, -3.6807764964639977]",-1.5908384164288472,Concrete dries out,Field2_en,"[-0.019447720328716476, 0.4324840007920061, -0.6722395852198162, -0.8459156189386158]",0.4324840007920061,Concrete dries out,Field2_en,11I4FA3,A3,Beton,2,g,1
13,concrete shrinks,1,"[0.23712553, 0.7028816, 0.34942183, 0.17413981]",0.7028815746307373,Concrete dries out,Field2_en,"[0.23712553, 0.72525334, 0.3297347, 0.17413981]",0.7252533435821533,Concrete dries out,Field2_en,"[0.22609411740519034, 0.6243342991784272, 0.3146612468385386, 0.14057567312771854]",0.6243342991784272,Concrete dries out,Field2_en,"[0.22609411740519034, 0.6195179401074478, 0.29923977321293876, 0.14057567312771854]",0.6195179401074478,Concrete dries out,Field2_en,"[-3.795813587578535, -2.2991790538779364, -3.4967890232371053, -4.066812491850853]",-2.2991790538779364,Concrete dries out,Field2_en,"[-0.5153285817764975, -0.5302947609193452, -0.49292319416657887, -0.5945312278711208]",-0.49292319416657887,Buildings are smaller,Field3_en,13I5FHC3,HC3,Beton,2,g,1
